City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Buchanan,LR,82.72,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
4,Rikitea,PF,75.96,moderate rain,-23.1203,-134.9692,People ThankYou
7,Esperance,AU,78.64,clear sky,-33.8667,121.9,Hospitality Esperance
16,Atuona,PF,78.12,few clouds,-9.8,-139.0333,Villa Enata
20,Saldanha,ZA,80.65,few clouds,-33.0117,17.9442,Blue Bay Lodge
23,Namibe,AO,77.63,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
28,Cape Town,ZA,83.12,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
33,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
37,Geraldton,AU,81.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
39,Busselton,AU,88.09,clear sky,-33.65,115.3333,Observatory Guest House
46,Hermanus,ZA,82.9,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
52,Mityana,UG,78.39,broken clouds,0.4175,32.0228,Green Valley Hotel
53,Sola,VU,75.87,few clouds,-13.8833,167.55,Leumerus Bungalows
57,Palu,ID,78.12,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
58,Hithadhoo,MV,82.56,broken clouds,-0.6,73.0833,Scoop Guest House
59,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
63,Dodoma,TZ,82.31,scattered clouds,-6.1722,35.7395,Royal Village Hotel
66,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
70,Amudat,UG,88.41,scattered clouds,1.95,34.95,Silent Night Hotel
71,Dhidhdhoo,MV,81.59,scattered clouds,6.8833,73.1,Dhidhoo beach
72,Catio,GW,82.51,broken clouds,11.2833,-15.25,Pausada Morabedja
74,Fayaoue,NC,81.86,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
78,Alofi,NU,75.09,broken clouds,-19.0595,-169.9187,Taloa Heights
79,Arraial Do Cabo,BR,75.16,light intensity drizzle,-22.9661,-42.0278,Pousada Porto Praia
81,Cockburn Town,TC,78.42,clear sky,21.4612,-71.1419,Osprey Beach Hotel
86,Takoradi,GH,85.15,clear sky,4.8845,-1.7554,Raybow International Hotel
87,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
88,Charters Towers,AU,87.31,few clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
89,Butaritari,KI,82.74,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
90,Nyaunglebin,MM,86.74,clear sky,17.95,96.7333,Thi ha
92,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
96,Bredasdorp,ZA,77.29,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
98,Lazaro Cardenas,MX,76.75,broken clouds,17.9583,-102.2,quinta antigua
100,Lufilufi,WS,78.58,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
105,Inyonga,TZ,81.46,overcast clouds,-6.7167,32.0667,Eden Rock Lodge
107,Polonnaruwa,LK,82.27,broken clouds,7.9333,81.0,Thisara Guest House
113,Pakenham,AU,80.74,overcast clouds,-38.0667,145.4833,Pakenham Ranges
118,Port Hedland,AU,89.65,few clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
119,Faanui,PF,81.36,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
122,Biltine,TD,84.99,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
126,Mahebourg,MU,86.29,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
127,Mareeba,AU,83.48,light rain,-17.0,145.4333,Trinity Plains Tourist Park
128,Tual,ID,83.59,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
131,Kloulklubed,PW,81.1,broken clouds,7.0419,134.2556,Storyboard Beach Resort
133,Fare,PF,81.12,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
135,Meulaboh,ID,83.3,scattered clouds,4.1363,96.1285,Kost Pria
136,Saint-Philippe,RE,85.55,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
137,Bambous Virieux,MU,86.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
142,Moerai,PF,77.32,broken clouds,-22.4333,-151.3333,Le Manotel
144,Maceio,BR,76.44,scattered clouds,-9.6658,-35.7353,Poutur Pousada
146,Samarai,PG,79.74,moderate rain,-10.6167,150.6667,Nuli Sapi
147,Chilmari,BD,77.04,clear sky,25.5559,89.6715,Naimul islam Badhon hotel
150,Kununurra,AU,89.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
160,Caravelas,BR,77.81,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
164,Sarangani,PH,81.84,scattered clouds,5.4033,125.4636,Ballistic Islet
172,Tumarbong,PH,78.6,overcast clouds,10.3766,119.4579,
175,Wattegama,LK,83.34,broken clouds,6.7989,81.4808,
176,Hobyo,SO,83.68,scattered clouds,5.3505,48.5268,
186,Sao Jose Da Coroa Grande,BR,80.37,broken clouds,-8.8978,-35.1478,
187,Guarapari,BR,77.9,overcast clouds,-20.6667,-40.4975,
190,Ranong,TH,89.53,few clouds,9.9658,98.6348,
191,Nhulunbuy,AU,86.61,broken clouds,-12.2333,136.7667,
197,Umm Lajj,SA,77.68,broken clouds,25.0213,37.2685,
198,Salinopolis,BR,77.88,overcast clouds,-0.6136,-47.3561,
199,Kerema,PG,78.8,overcast clouds,-7.9631,145.7785,
200,Odweyne,SO,82.74,broken clouds,9.4092,45.064,
201,Santarem,BR,75.33,broken clouds,-2.4431,-54.7083,
205,Feni,BD,77.31,few clouds,23.0186,91.41,
212,Poya,NC,79.23,overcast clouds,-21.35,165.15,
213,Grand Gaube,MU,86.4,scattered clouds,-20.0064,57.6608,
219,Mahanje,TZ,89.51,light rain,-9.9333,35.3333,
