City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Naze,JP,28.3667,129.4833,59.92,64,99,19.66,overcast clouds
1,College,US,64.8569,-147.8028,-27.45,67,1,0.0,clear sky
2,Buchanan,LR,5.8808,-10.0467,82.72,71,75,3.04,broken clouds
3,Araripe,BR,-7.2125,-40.0461,69.33,88,100,7.43,overcast clouds
4,Rikitea,PF,-23.1203,-134.9692,75.96,75,100,7.96,moderate rain
5,Thompson,CA,55.7435,-97.8558,-25.44,75,40,10.36,scattered clouds
6,Mataura,NZ,-46.1927,168.8643,51.48,71,99,2.66,overcast clouds
7,Esperance,AU,-33.8667,121.9,78.64,64,0,21.14,clear sky
8,Pinhao,BR,-25.6956,-51.6597,62.1,96,50,5.88,scattered clouds
9,Cidreira,BR,-30.1811,-50.2056,70.07,67,100,9.22,overcast clouds
10,Kefamenanu,ID,-9.4467,124.4781,73.65,92,100,3.51,heavy intensity rain
11,Dikson,RU,73.5069,80.5464,-15.3,96,100,8.12,overcast clouds
12,Port Alfred,ZA,-33.5906,26.891,70.45,78,98,19.89,overcast clouds
13,Peniche,PT,39.3558,-9.3811,55.62,63,32,17.9,scattered clouds
14,Tiksi,RU,71.6872,128.8694,-30.48,95,38,6.64,scattered clouds
15,East London,ZA,-33.0153,27.9116,70.74,94,40,10.36,light rain
16,Atuona,PF,-9.8,-139.0333,78.12,77,17,12.33,few clouds
17,Albany,US,42.6001,-73.9662,34.61,89,72,11.79,light snow
18,Hofn,IS,64.2539,-15.2082,39.22,93,90,26.46,mist
19,San Patricio,US,28.017,-97.5169,67.89,90,1,7.52,clear sky
20,Saldanha,ZA,-33.0117,17.9442,80.65,69,12,11.54,few clouds
21,Badhni Kalan,IN,30.6833,75.2833,58.35,75,97,5.14,overcast clouds
22,Barra Do Bugres,BR,-15.0725,-57.1811,72.63,97,89,1.05,overcast clouds
23,Namibe,AO,-15.1961,12.1522,77.63,69,0,0.0,clear sky
24,Dandong,CN,40.1292,124.3947,24.1,46,0,6.11,clear sky
25,Faya,SA,18.3851,42.4509,60.91,69,53,10.85,broken clouds
26,Mount Gambier,AU,-37.8333,140.7667,67.91,83,75,6.91,broken clouds
27,Vestmanna,FO,62.1564,-7.1664,36.52,87,90,27.63,overcast clouds
28,Cape Town,ZA,-33.9258,18.4232,83.12,50,0,8.05,clear sky
29,New Norfolk,AU,-42.7826,147.0587,63.66,87,100,1.01,light rain
30,Lebu,CL,-37.6167,-73.65,56.91,87,90,14.52,overcast clouds
31,Ushuaia,AR,-54.8,-68.3,44.26,81,90,9.22,light rain
32,Khatanga,RU,71.9667,102.5,-19.93,100,98,5.23,overcast clouds
33,Vaini,TO,-21.2,-175.2,78.96,100,75,3.44,broken clouds
34,Punta Arenas,CL,-53.15,-70.9167,53.71,82,0,16.11,clear sky
35,Cabo San Lucas,MX,22.8909,-109.9124,68.5,69,3,3.58,clear sky
36,Ziro,IN,27.6333,93.8333,57.94,49,66,2.55,broken clouds
37,Geraldton,AU,-28.7667,114.6,81.01,61,0,20.71,clear sky
38,Conde,BR,-7.2597,-34.9075,74.66,100,40,4.61,scattered clouds
39,Busselton,AU,-33.65,115.3333,88.09,54,0,23.89,clear sky
40,Tuktoyaktuk,CA,69.4541,-133.0374,-2.29,89,73,20.45,broken clouds
41,Coquimbo,CL,-29.9533,-71.3436,58.73,94,90,2.3,overcast clouds
42,Chokurdakh,RU,70.6333,147.9167,-29.78,99,89,6.26,overcast clouds
43,Fortuna,US,40.5982,-124.1573,53.98,96,90,8.05,overcast clouds
44,Bluff,NZ,-46.6,168.3333,51.8,65,86,8.77,overcast clouds
45,Linhares,BR,-19.3911,-40.0722,74.98,86,98,7.87,overcast clouds
46,Hermanus,ZA,-34.4187,19.2345,82.9,59,69,13.31,broken clouds
47,Leshukonskoye,RU,64.8989,45.7622,11.98,91,100,10.27,overcast clouds
48,Balkanabat,TM,39.5108,54.3671,50.25,56,2,6.49,clear sky
49,Hobart,AU,-42.8794,147.3294,64.02,91,75,9.22,broken clouds
50,Ahipara,NZ,-35.1667,173.1667,65.48,79,59,11.65,broken clouds
51,Znamenskoye,RU,57.1281,73.8282,-7.73,98,19,3.2,few clouds
52,Mityana,UG,0.4175,32.0228,78.39,30,68,2.48,broken clouds
53,Sola,VU,-13.8833,167.55,75.87,94,20,0.0,few clouds
54,Port Hardy,CA,50.6996,-127.4199,35.76,86,90,37.98,light snow
55,Longyearbyen,SJ,78.2186,15.6401,10.24,72,20,10.36,few clouds
56,Sao Filipe,CV,14.8961,-24.4956,74.73,68,78,8.52,broken clouds
57,Palu,ID,-0.8917,119.8707,78.12,94,100,1.54,overcast clouds
58,Hithadhoo,MV,-0.6,73.0833,82.56,75,61,11.81,broken clouds
59,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,90,100,2.55,overcast clouds
60,Tuatapere,NZ,-46.1333,167.6833,51.82,80,87,3.29,overcast clouds
61,Teguise,ES,29.0605,-13.564,61.02,63,75,16.11,broken clouds
62,Tupelo,US,34.2576,-88.7034,45.25,65,90,10.0,overcast clouds
63,Dodoma,TZ,-6.1722,35.7395,82.31,47,40,9.22,scattered clouds
64,Kaitangata,NZ,-46.2817,169.8464,50.94,72,68,7.83,broken clouds
65,Bethel,US,41.3712,-73.414,38.01,87,20,3.0,few clouds
66,Salalah,OM,17.0151,54.0924,77.09,14,0,19.57,clear sky
67,Haines Junction,CA,60.7522,-137.5108,-49.05,65,93,1.14,overcast clouds
68,Qaanaaq,GL,77.484,-69.3632,-0.33,51,3,8.12,clear sky
69,Alice Springs,AU,-23.7,133.8833,92.75,14,0,12.66,clear sky
70,Amudat,UG,1.95,34.95,88.41,23,29,16.91,scattered clouds
71,Dhidhdhoo,MV,6.8833,73.1,81.59,71,46,6.2,scattered clouds
72,Catio,GW,11.2833,-15.25,82.51,19,60,9.1,broken clouds
73,Aksu,CN,41.1231,80.2644,35.1,31,79,2.3,broken clouds
